1,Meeting 1 Test,Far Far Away,11/10/2020 11:34:00,11/10/2020 11:44:00,10 min.,Elsa Duncan: 11630816
,,,,,,Sandy Grant: 12638001
,,,,,,Allan Johnstone: 20806981
,,,,,,Elsa Duncan: 11630816
,,,,,,Chloe Walker: 27584059
,,,,,,Luka Gibson: 31951484
,,,,,,
1,Meeting 1 Test,Far Far Away,11/10/2020 11:34:00,11/10/2020 11:44:00,10 min.,Elsa Duncan: 11630816
,,,,,,Sandy Grant: 12638001
,,,,,,Allan Johnstone: 20806981
,,,,,,Elsa Duncan: 11630816
,,,,,,Chloe Walker: 27584059
,,,,,,Luka Gibson: 31951484
,,,,,,
1,Meeting 1 Test,Far Far Away,11/10/2020 11:34:00,11/10/2020 11:44:00,10 min.,Elsa Duncan: 11630816
,,,,,,Sandy Grant: 12638001
,,,,,,Allan Johnstone: 20806981
,,,,,,Elsa Duncan: 11630816
,,,,,,Chloe Walker: 27584059
,,,,,,Luka Gibson: 31951484
,,,,,,
1,Meeting 1 Test,Far Far Away,11/10/2020 11:34:00,11/10/2020 11:44:00,10 min.,Elsa Duncan: 11630816
,,,,,,Sandy Grant: 12638001
,,,,,,Allan Johnstone: 20806981
,,,,,,Elsa Duncan: 11630816
,,,,,,Chloe Walker: 27584059
,,,,,,Luka Gibson: 31951484
,,,,,,
1,Meeting 1 Test,Far Far Away,11/10/2020 11:34:00,11/10/2020 11:44:00,10 min.,Elsa Duncan: 11630816
,,,,,,Sandy Grant: 12638001
,,,,,,Allan Johnstone: 20806981
,,,,,,Elsa Duncan: 11630816
,,,,,,Chloe Walker: 27584059
,,,,,,Luka Gibson: 31951484
,,,,,,
1,Meeting 1 Test,Far Far Away,11/10/2020 11:34:00,11/10/2020 11:44:00,10 min.,Elsa Duncan: 11630816
,,,,,,Sandy Grant: 12638001
,,,,,,Allan Johnstone: 20806981
,,,,,,Elsa Duncan: 11630816
,,,,,,Chloe Walker: 27584059
,,,,,,Luka Gibson: 31951484
,,,,,,
4,testmeeting3,Hundred Acre Wood,11/11/2020 15:30:28,11/11/2020 15:45:28,15 min.,Elsa Duncan: 11630816
,,,,,,Luka Gibson: 31951484
,,,,,,Elsie Black: 38277039
,,,,,,
4,testmeeting3,Hundred Acre Wood,11/11/2020 15:30:28,11/11/2020 15:45:28,15 min.,Elsa Duncan: 11630816
,,,,,,Luka Gibson: 31951484
,,,,,,Elsie Black: 38277039
,,,,,,
4,testmeeting3,Hundred Acre Wood,11/11/2020 15:30:28,11/11/2020 15:45:28,15 min.,Elsa Duncan: 11630816
,,,,,,Luka Gibson: 31951484
,,,,,,Elsie Black: 38277039
,,,,,,
5,testmeeting4,Narnia,11/11/2020 16:00:00,11/11/2020 16:20:00,20 min.,Elsa Duncan: 11630816
,,,,,,Natan Hamilton: 28875222
,,,,,,Angel Kelly: 55375417
,,,,,,Brooklyn Douglas: 50125210
,,,,,,
5,testmeeting4,Narnia,11/11/2020 16:00:00,11/11/2020 16:20:00,20 min.,Elsa Duncan: 11630816
,,,,,,Natan Hamilton: 28875222
,,,,,,Angel Kelly: 55375417
,,,,,,Brooklyn Douglas: 50125210
,,,,,,
5,testmeeting4,Narnia,11/11/2020 16:00:00,11/11/2020 16:20:00,20 min.,Elsa Duncan: 11630816
,,,,,,Natan Hamilton: 28875222
,,,,,,Angel Kelly: 55375417
,,,,,,Brooklyn Douglas: 50125210
,,,,,,
5,testmeeting4,Narnia,11/11/2020 16:00:00,11/11/2020 16:20:00,20 min.,Elsa Duncan: 11630816
,,,,,,Natan Hamilton: 28875222
,,,,,,Angel Kelly: 55375417
,,,,,,Brooklyn Douglas: 50125210
,,,,,,
6,meeting test 6,Hogwarts,12/11/2020 15:00:00,12/11/2020 15:40:00,40 min.,Elsa Duncan: 11630816
,,,,,,Eloise Wood: 70579719
,,,,,,Brooklyn Douglas: 50125210
,,,,,,Elsie Black: 38277039
,,,,,,
6,meeting test 6,Hogwarts,12/11/2020 15:00:00,12/11/2020 15:40:00,40 min.,Elsa Duncan: 11630816
,,,,,,Eloise Wood: 70579719
,,,,,,Brooklyn Douglas: 50125210
,,,,,,Elsie Black: 38277039
,,,,,,
6,meeting test 6,Hogwarts,12/11/2020 15:00:00,12/11/2020 15:40:00,40 min.,Elsa Duncan: 11630816
,,,,,,Eloise Wood: 70579719
,,,,,,Brooklyn Douglas: 50125210
,,,,,,Elsie Black: 38277039
,,,,,,
6,meeting test 6,Hogwarts,12/11/2020 15:00:00,12/11/2020 15:40:00,40 min.,Elsa Duncan: 11630816
,,,,,,Eloise Wood: 70579719
,,,,,,Brooklyn Douglas: 50125210
,,,,,,Elsie Black: 38277039
,,,,,,
7,Test Meeting 7,Hogwarts,12/11/2020 16:00:00,12/11/2020 16:30:00,30 min.,Elsa Duncan: 11630816
,,,,,,Carrie Walker: 66794806
,,,,,,Nathan Hay: 78602723
,,,,,,Toby McLean: 82968199
,,,,,,
7,Test Meeting 7,Hogwarts,12/11/2020 16:00:00,12/11/2020 16:30:00,30 min.,Elsa Duncan: 11630816
,,,,,,Carrie Walker: 66794806
,,,,,,Nathan Hay: 78602723
,,,,,,Toby McLean: 82968199
,,,,,,
7,Test Meeting 7,Hogwarts,12/11/2020 16:00:00,12/11/2020 16:30:00,30 min.,Elsa Duncan: 11630816
,,,,,,Carrie Walker: 66794806
,,,,,,Nathan Hay: 78602723
,,,,,,Toby McLean: 82968199
,,,,,,
7,Test Meeting 7,Hogwarts,12/11/2020 16:00:00,12/11/2020 16:30:00,30 min.,Elsa Duncan: 11630816
,,,,,,Carrie Walker: 66794806
,,,,,,Nathan Hay: 78602723
,,,,,,Toby McLean: 82968199
,,,,,,
8,Coffee chat,Hundred Acre Wood,25/11/2020 14:00:00,25/11/2020 14:20:00,20 min.,Elsa Duncan: 11630816
,,,,,,Mirin Burns: 44646137
,,,,,,Fearne Cunningham: 47669629
,,,,,,Brooklyn Douglas: 50125210
,,,,,,Murron Hunter: 51702313
,,,,,,Angel Kelly: 55375417
,,,,,,Alice Sinclair: 58104704
,,,,,,
